Region,CountryName,Year,Series,Value
8,Albania,1975,Emissions (thousand metric tons of carbon dioxide),4338.334
8,Albania,1985,Emissions (thousand metric tons of carbon dioxide),6929.926
8,Albania,1995,Emissions (thousand metric tons of carbon dioxide),1848.549
8,Albania,2005,Emissions (thousand metric tons of carbon dioxide),3825.184
8,Albania,2010,Emissions (thousand metric tons of carbon dioxide),3930.295
8,Albania,2015,Emissions (thousand metric tons of carbon dioxide),3824.801
8,Albania,2016,Emissions (thousand metric tons of carbon dioxide),3674.183
8,Albania,2017,Emissions (thousand metric tons of carbon dioxide),4342.011
12,Algeria,1975,Emissions (thousand metric tons of carbon dioxide),13552.694
12,Algeria,1985,Emissions (thousand metric tons of carbon dioxide),42073.253
12,Algeria,1995,Emissions (thousand metric tons of carbon dioxide),55336.862
12,Algeria,2005,Emissions (thousand metric tons of carbon dioxide),77474.13
12,Algeria,2010,Emissions (thousand metric tons of carbon dioxide),95535.489
12,Algeria,2015,Emissions (thousand metric tons of carbon dioxide),130426.655
12,Algeria,2016,Emissions (thousand metric tons of carbon dioxide),127640.064
12,Algeria,2017,Emissions (thousand metric tons of carbon dioxide),130493.653
24,Angola,1975,Emissions (thousand metric tons of carbon dioxide),1955.802
24,Angola,1985,Emissions (thousand metric tons of carbon dioxide),2817.595
24,Angola,1995,Emissions (thousand metric tons of carbon dioxide),3913.613
24,Angola,2005,Emissions (thousand metric tons of carbon dioxide),6146.691
24,Angola,2010,Emissions (thousand metric tons of carbon dioxide),15151.684
24,Angola,2015,Emissions (thousand metric tons of carbon dioxide),21532.32
24,Angola,2016,Emissions (thousand metric tons of carbon dioxide),21458.342
24,Angola,2017,Emissions (thousand metric tons of carbon dioxide),18021.394
32,Argentina,1975,Emissions (thousand metric tons of carbon dioxide),85231.756
32,Argentina,1985,Emissions (thousand metric tons of carbon dioxide),87779.28
32,Argentina,1995,Emissions (thousand metric tons of carbon dioxide),117327.938
32,Argentina,2005,Emissions (thousand metric tons of carbon dioxide),149476.04
32,Argentina,2010,Emissions (thousand metric tons of carbon dioxide),173768.538
32,Argentina,2015,Emissions (thousand metric tons of carbon dioxide),190384.899
32,Argentina,2016,Emissions (thousand metric tons of carbon dioxide),190512.04
32,Argentina,2017,Emissions (thousand metric tons of carbon dioxide),183375.203
51,Armenia,1995,Emissions (thousand metric tons of carbon dioxide),3368.027
51,Armenia,2005,Emissions (thousand metric tons of carbon dioxide),4129.845
51,Armenia,2010,Emissions (thousand metric tons of carbon dioxide),4048.253
51,Armenia,2015,Emissions (thousand metric tons of carbon dioxide),4702.13
51,Armenia,2016,Emissions (thousand metric tons of carbon dioxide),4833.071
51,Armenia,2017,Emissions (thousand metric tons of carbon dioxide),5165.593
36,Australia,1975,Emissions (thousand metric tons of carbon dioxide),179467.397
36,Australia,1985,Emissions (thousand metric tons of carbon dioxide),220128.059
36,Australia,1995,Emissions (thousand metric tons of carbon dioxide),285324.094
36,Australia,2005,Emissions (thousand metric tons of carbon dioxide),365515.118
36,Australia,2010,Emissions (thousand metric tons of carbon dioxide),383618.673
36,Australia,2015,Emissions (thousand metric tons of carbon dioxide),373846.773
36,Australia,2016,Emissions (thousand metric tons of carbon dioxide),381878.629
36,Australia,2017,Emissions (thousand metric tons of carbon dioxide),384583.857
40,Austria,1975,Emissions (thousand metric tons of carbon dioxide),49488.796
40,Austria,1985,Emissions (thousand metric tons of carbon dioxide),52649.019
40,Austria,1995,Emissions (thousand metric tons of carbon dioxide),59549.049
40,Austria,2005,Emissions (thousand metric tons of carbon dioxide),74764.026
40,Austria,2010,Emissions (thousand metric tons of carbon dioxide),68571.165
40,Austria,2015,Emissions (thousand metric tons of carbon dioxide),62221.17
40,Austria,2016,Emissions (thousand metric tons of carbon dioxide),62048.731
40,Austria,2017,Emissions (thousand metric tons of carbon dioxide),64872.394
31,Azerbaijan,1995,Emissions (thousand metric tons of carbon dioxide),32372.42
31,Azerbaijan,2005,Emissions (thousand metric tons of carbon dioxide),29018.489
31,Azerbaijan,2010,Emissions (thousand metric tons of carbon dioxide),23532.476
31,Azerbaijan,2015,Emissions (thousand metric tons of carbon dioxide),30806.159
31,Azerbaijan,2016,Emissions (thousand metric tons of carbon dioxide),31409.359
31,Azerbaijan,2017,Emissions (thousand metric tons of carbon dioxide),30805.851
48,Bahrain,1975,Emissions (thousand metric tons of carbon dioxide),5229.829
48,Bahrain,1985,Emissions (thousand metric tons of carbon dioxide),9099.749
48,Bahrain,1995,Emissions (thousand metric tons of carbon dioxide),13457.588
48,Bahrain,2005,Emissions (thousand metric tons of carbon dioxide),20564.912
48,Bahrain,2010,Emissions (thousand metric tons of carbon dioxide),25551.566
