Region,CountryName,Year,Series,Value
2,Africa,1985,GDP in current prices (millions of US dollars),551052.1297
2,Africa,1995,GDP in current prices (millions of US dollars),584724.3325
2,Africa,2005,GDP in current prices (millions of US dollars),1127603.67
2,Africa,2010,GDP in current prices (millions of US dollars),1968455.453
2,Africa,2015,GDP in current prices (millions of US dollars),2306278.761
2,Africa,2017,GDP in current prices (millions of US dollars),2234232.975
2,Africa,2018,GDP in current prices (millions of US dollars),2365243.324
15,Northern Africa,1985,GDP in current prices (millions of US dollars),142506.2163
15,Northern Africa,1995,GDP in current prices (millions of US dollars),207392.1348
15,Northern Africa,2005,GDP in current prices (millions of US dollars),373105.5942
15,Northern Africa,2010,GDP in current prices (millions of US dollars),648726.6228
15,Northern Africa,2015,GDP in current prices (millions of US dollars),729675.1671
15,Northern Africa,2017,GDP in current prices (millions of US dollars),661194.4199
15,Northern Africa,2018,GDP in current prices (millions of US dollars),666216.4768
202,Sub-Saharan Africa,1985,GDP in current prices (millions of US dollars),408545.9134
202,Sub-Saharan Africa,1995,GDP in current prices (millions of US dollars),377332.1977
202,Sub-Saharan Africa,2005,GDP in current prices (millions of US dollars),754498.0757
202,Sub-Saharan Africa,2010,GDP in current prices (millions of US dollars),1319728.83
202,Sub-Saharan Africa,2015,GDP in current prices (millions of US dollars),1576603.594
202,Sub-Saharan Africa,2017,GDP in current prices (millions of US dollars),1573038.556
202,Sub-Saharan Africa,2018,GDP in current prices (millions of US dollars),1699026.848
14,Eastern Africa,1985,GDP in current prices (millions of US dollars),65429.6753
14,Eastern Africa,1995,GDP in current prices (millions of US dollars),69248.4075
14,Eastern Africa,2005,GDP in current prices (millions of US dollars),112226.9976
14,Eastern Africa,2010,GDP in current prices (millions of US dollars),217859.6916
14,Eastern Africa,2015,GDP in current prices (millions of US dollars),321978.8024
14,Eastern Africa,2017,GDP in current prices (millions of US dollars),364120.6458
14,Eastern Africa,2018,GDP in current prices (millions of US dollars),393668.8739
17,Middle Africa,1985,GDP in current prices (millions of US dollars),35266.8513
17,Middle Africa,1995,GDP in current prices (millions of US dollars),36080.9147
17,Middle Africa,2005,GDP in current prices (millions of US dollars),99547.5604
17,Middle Africa,2010,GDP in current prices (millions of US dollars),189046.0524
17,Middle Africa,2015,GDP in current prices (millions of US dollars),237286.6618
17,Middle Africa,2017,GDP in current prices (millions of US dollars),245958.5667
17,Middle Africa,2018,GDP in current prices (millions of US dollars),250275.8253
18,Southern Africa,1985,GDP in current prices (millions of US dollars),62927.1027
18,Southern Africa,1995,GDP in current prices (millions of US dollars),166991.0837
18,Southern Africa,2005,GDP in current prices (millions of US dollars),279561.9851
18,Southern Africa,2010,GDP in current prices (millions of US dollars),406241.7249
18,Southern Africa,2015,GDP in current prices (millions of US dollars),350024.7747
18,Southern Africa,2017,GDP in current prices (millions of US dollars),387003.3296
18,Southern Africa,2018,GDP in current prices (millions of US dollars),408568.9969
11,Western Africa,1985,GDP in current prices (millions of US dollars),244922.2841
11,Western Africa,1995,GDP in current prices (millions of US dollars),105011.7918
11,Western Africa,2005,GDP in current prices (millions of US dollars),263161.5326
11,Western Africa,2010,GDP in current prices (millions of US dollars),506581.3611
11,Western Africa,2015,GDP in current prices (millions of US dollars),667313.3549
11,Western Africa,2017,GDP in current prices (millions of US dollars),575956.0134
11,Western Africa,2018,GDP in current prices (millions of US dollars),646513.1514
19,Americas,1985,GDP in current prices (millions of US dollars),5491293.021
19,Americas,1995,GDP in current prices (millions of US dollars),10217194.18
19,Americas,2005,GDP in current prices (millions of US dollars),17076572.88
19,Americas,2010,GDP in current prices (millions of US dollars),21963119.06
19,Americas,2015,GDP in current prices (millions of US dollars),25283841.8
19,Americas,2017,GDP in current prices (millions of US dollars),26950282.38
19,Americas,2018,GDP in current prices (millions of US dollars),27867704.46
21,Northern America,1985,GDP in current prices (millions of US dollars),4707043.784
21,Northern America,1995,GDP in current prices (millions of US dollars),8249550.242
21,Northern America,2005,GDP in current prices (millions of US dollars),14216498.21
21,Northern America,2010,GDP in current prices (millions of US dollars),16617673.9
21,Northern America,2015,GDP in current prices (millions of US dollars),19789296.97
21,Northern America,2017,GDP in current prices (millions of US dollars),21178707.09
21,Northern America,2018,GDP in current prices (millions of US dollars),22302188.09
419,Latin America & the Caribbean,1985,GDP in current prices (millions of US dollars),784249.2367
419,Latin America & the Caribbean,1995,GDP in current prices (millions of US dollars),1967643.942
419,Latin America & the Caribbean,2005,GDP in current prices (millions of US dollars),2860074.673
419,Latin America & the Caribbean,2010,GDP in current prices (millions of US dollars),5345445.152
419,Latin America & the Caribbean,2015,GDP in current prices (millions of US dollars),5494544.822
419,Latin America & the Caribbean,2017,GDP in current prices (millions of US dollars),5771575.288
419,Latin America & the Caribbean,2018,GDP in current prices (millions of US dollars),5565516.364
29,Caribbean,1985,GDP in current prices (millions of US dollars),69866.0713
29,Caribbean,1995,GDP in current prices (millions of US dollars),120339.1627
29,Caribbean,2005,GDP in current prices (millions of US dollars),222633.4507
29,Caribbean,2010,GDP in current prices (millions of US dollars),290517.9359
29,Caribbean,2015,GDP in current prices (millions of US dollars),344059.0997
29,Caribbean,2017,GDP in current prices (millions of US dollars),361871.5005
29,Caribbean,2018,GDP in current prices (millions of US dollars),371468.4724
13,Central America,1985,GDP in current prices (millions of US dollars),255436.7307
13,Central America,1995,GDP in current prices (millions of US dollars),412217.5588
13,Central America,2005,GDP in current prices (millions of US dollars),972211.6683
13,Central America,2010,GDP in current prices (millions of US dollars),1210270.728
13,Central America,2015,GDP in current prices (millions of US dollars),1402100.776
13,Central America,2017,GDP in current prices (millions of US dollars),1418016.004
13,Central America,2018,GDP in current prices (millions of US dollars),1492058.729
5,South America,1985,GDP in current prices (millions of US dollars),458946.4347
5,South America,1995,GDP in current prices (millions of US dollars),1435087.22
5,South America,2005,GDP in current prices (millions of US dollars),1665229.554
5,South America,2010,GDP in current prices (millions of US dollars),3844656.488
5,South America,2015,GDP in current prices (millions of US dollars),3748384.946
5,South America,2017,GDP in current prices (millions of US dollars),3991687.783
5,South America,2018,GDP in current prices (millions of US dollars),3701989.163
142,Asia,1985,GDP in current prices (millions of US dollars),2895273.058
142,Asia,1995,GDP in current prices (millions of US dollars),9223410.866
142,Asia,2005,GDP in current prices (millions of US dollars),12390608.47
142,Asia,2010,GDP in current prices (millions of US dollars),20957642.94
142,Asia,2015,GDP in current prices (millions of US dollars),26659276.55
142,Asia,2017,GDP in current prices (millions of US dollars),29581855.73
142,Asia,2018,GDP in current prices (millions of US dollars),31839879.55
143,Central Asia,1995,GDP in current prices (millions of US dollars),41638.7899
143,Central Asia,2005,GDP in current prices (millions of US dollars),93162.5703
143,Central Asia,2010,GDP in current prices (millions of US dollars),227976.0944
143,Central Asia,2015,GDP in current prices (millions of US dollars),316820.175
143,Central Asia,2017,GDP in current prices (millions of US dollars),278741.6818
143,Central Asia,2018,GDP in current prices (millions of US dollars),286204.9274
30,Eastern Asia,1985,GDP in current prices (millions of US dollars),1925557.232
30,Eastern Asia,1995,GDP in current prices (millions of US dollars),7191367.638
30,Eastern Asia,2005,GDP in current prices (millions of US dollars),8559950.712
30,Eastern Asia,2010,GDP in current prices (millions of US dollars),13653535.35
30,Eastern Asia,2015,GDP in current prices (millions of US dollars),17788105.95
30,Eastern Asia,2017,GDP in current prices (millions of US dollars),19639200.1
30,Eastern Asia,2018,GDP in current prices (millions of US dollars),21355820.14
35,South-eastern Asia,1985,GDP in current prices (millions of US dollars),243806.2277
35,South-eastern Asia,1995,GDP in current prices (millions of US dollars),703486.7394
35,South-eastern Asia,2005,GDP in current prices (millions of US dollars),958892.6882
35,South-eastern Asia,2010,GDP in current prices (millions of US dollars),1980866.225
35,South-eastern Asia,2015,GDP in current prices (millions of US dollars),2466780.962
