Region,CountryName,Year,Series,Value
2,Africa,2005,Population mid-year estimates (millions),916.1543
2,Africa,2010,Population mid-year estimates (millions),1039.304
2,Africa,2017,Population mid-year estimates (millions),1244.2223
2,Africa,2017,Surface area (thousand km2),30311
2,Africa,2019,Population mid-year estimates (millions),1308.0642
15,Northern Africa,2005,Population mid-year estimates (millions),186.4213
15,Northern Africa,2010,Population mid-year estimates (millions),202.9403
15,Northern Africa,2017,Population mid-year estimates (millions),232.7932
15,Northern Africa,2017,Surface area (thousand km2),7880
15,Northern Africa,2019,Population mid-year estimates (millions),241.7808
202,Sub-Saharan Africa,2005,Population mid-year estimates (millions),729.733
202,Sub-Saharan Africa,2010,Population mid-year estimates (millions),836.3638
202,Sub-Saharan Africa,2017,Population mid-year estimates (millions),1011.4291
202,Sub-Saharan Africa,2017,Surface area (thousand km2),22431
202,Sub-Saharan Africa,2019,Population mid-year estimates (millions),1066.2834
14,Eastern Africa,2005,Population mid-year estimates (millions),295.1854
14,Eastern Africa,2010,Population mid-year estimates (millions),339.3178
14,Eastern Africa,2017,Population mid-year estimates (millions),411.3967
14,Eastern Africa,2017,Surface area (thousand km2),7005
14,Eastern Africa,2019,Population mid-year estimates (millions),433.9049
17,Middle Africa,2005,Population mid-year estimates (millions),112.0083
17,Middle Africa,2010,Population mid-year estimates (millions),131.6221
17,Middle Africa,2017,Population mid-year estimates (millions),164.039
17,Middle Africa,2017,Surface area (thousand km2),6613
17,Middle Africa,2019,Population mid-year estimates (millions),174.3084
18,Southern Africa,2005,Population mid-year estimates (millions),54.6447
18,Southern Africa,2010,Population mid-year estimates (millions),58.3834
18,Southern Africa,2017,Population mid-year estimates (millions),64.8338
18,Southern Africa,2017,Surface area (thousand km2),2675
18,Southern Africa,2019,Population mid-year estimates (millions),66.6299
11,Western Africa,2005,Population mid-year estimates (millions),267.8946
11,Western Africa,2010,Population mid-year estimates (millions),307.0404
11,Western Africa,2017,Population mid-year estimates (millions),371.1595
11,Western Africa,2017,Surface area (thousand km2),6138
11,Western Africa,2019,Population mid-year estimates (millions),391.4402
19,Americas,2005,Population mid-year estimates (millions),884.7882
19,Americas,2010,Population mid-year estimates (millions),934.6398
19,Americas,2017,Population mid-year estimates (millions),998.1754
19,Americas,2017,Surface area (thousand km2),42322
19,Americas,2019,Population mid-year estimates (millions),1014.7219
21,Northern America,2005,Population mid-year estimates (millions),327.2872
21,Northern America,2010,Population mid-year estimates (millions),343.2874
21,Northern America,2017,Population mid-year estimates (millions),361.9423
